#,Yogasana Name,IAST Name,2001 Edition Page,Intensity,Intermediate Plate,Final Asana Plate,Note,2015 Edition Page,Formatted Description,Pranayama Description,Pranayama Cautions,Pranayama Effects,Variation
A_XIV,Anuloma Pranayama,Anuloma Viloma Prāṇāyāma,,-,,,,384,"214 / Anuloma Pranayama
Technique
Sit in any comfortable position like Padmasana (Image 104), Siddhasana (Image 84) or Virasana (Image 89).

Keep the back erect and rigid. Lower the head to the trunk and rest the chin in the notch between the collar-bones just above the breastbone. (This is the Jalandhara Bandha.)

Inhale deeply through both nostrils as in Ujjayi until the lungs are fully filled.

Hold the breath after inhalation (antara kumbhaka) from 5 to 10 seconds according to capacity, maintaining Mula Bandha (see p. 366).

Bring the right hand to the nose as described in Surya Bhedana Pranayama, relax the Mula Bandha and exhale slowly from the partially opened right nostril, keeping the left one completely blocked. Completely empty the lungs and then lower the hand.

Inhale through both nostrils, until the lungs are filled as in para. 3.

Hold the breath after inhalation (antara kumbhaka) from 5 to 10 seconds according to capacity, maintaining Mula Bandha. The retention of breath described in para. 4 and in this para. should be of equal length.

Again bring the right hand to the nose. Release the Mula Bandha and close the right nostril completely. Now keep the left nostril partially open, and exhale slowly and deeply to empty the lungs completely.

This completes one cycle of Anuloma Pranayama.

Do 5 to 8 cycles at a stretch.

Then lie down in Savasana. (Image 592)
Same effects as Ujjayi, Nadi Sodhana, and Surya Bhedana. Caution: Variation in rhythm (exhalation longer than inhalation) makes this difficult; only for advanced pupils. Hazardous for BP/heart/nervous disorders.
","These stages are similar to IIIb, except that the inhalations are interrupted by pauses.",,,Stage VIIb
A_XV,Anuloma Pranayama,Anuloma Viloma Prāṇāyāma,,-,,,,384,"214 / Anuloma Pranayama
Technique
Sit in any comfortable position like Padmasana (Image 104), Siddhasana (Image 84) or Virasana (Image 89).

Keep the back erect and rigid. Lower the head to the trunk and rest the chin in the notch between the collar-bones just above the breastbone. (This is the Jalandhara Bandha.)

Inhale deeply through both nostrils as in Ujjayi until the lungs are fully filled.

Hold the breath after inhalation (antara kumbhaka) from 5 to 10 seconds according to capacity, maintaining Mula Bandha (see p. 366).

Bring the right hand to the nose as described in Surya Bhedana Pranayama, relax the Mula Bandha and exhale slowly from the partially opened right nostril, keeping the left one completely blocked. Completely empty the lungs and then lower the hand.

Inhale through both nostrils, until the lungs are filled as in para. 3.

Hold the breath after inhalation (antara kumbhaka) from 5 to 10 seconds according to capacity, maintaining Mula Bandha. The retention of breath described in para. 4 and in this para. should be of equal length.

Again bring the right hand to the nose. Release the Mula Bandha and close the right nostril completely. Now keep the left nostril partially open, and exhale slowly and deeply to empty the lungs completely.

This completes one cycle of Anuloma Pranayama.

Do 5 to 8 cycles at a stretch.

Then lie down in Savasana. (Image 592)
Same effects as Ujjayi, Nadi Sodhana, and Surya Bhedana. Caution: Variation in rhythm (exhalation longer than inhalation) makes this difficult; only for advanced pupils. Hazardous for BP/heart/nervous disorders.
","These stages are similar to IVa, except that the inhalations are interrupted by pauses.",,,Stage VIIIa
A_XVI,Anuloma Pranayama,Anuloma Viloma Prāṇāyāma,,-,,,,384,"214 / Anuloma Pranayama
Technique
Sit in any comfortable position like Padmasana (Image 104), Siddhasana (Image 84) or Virasana (Image 89).

Keep the back erect and rigid. Lower the head to the trunk and rest the chin in the notch between the collar-bones just above the breastbone. (This is the Jalandhara Bandha.)

Inhale deeply through both nostrils as in Ujjayi until the lungs are fully filled.

Hold the breath after inhalation (antara kumbhaka) from 5 to 10 seconds according to capacity, maintaining Mula Bandha (see p. 366).

Bring the right hand to the nose as described in Surya Bhedana Pranayama, relax the Mula Bandha and exhale slowly from the partially opened right nostril, keeping the left one completely blocked. Completely empty the lungs and then lower the hand.

Inhale through both nostrils, until the lungs are filled as in para. 3.

Hold the breath after inhalation (antara kumbhaka) from 5 to 10 seconds according to capacity, maintaining Mula Bandha. The retention of breath described in para. 4 and in this para. should be of equal length.

Again bring the right hand to the nose. Release the Mula Bandha and close the right nostril completely. Now keep the left nostril partially open, and exhale slowly and deeply to empty the lungs completely.

This completes one cycle of Anuloma Pranayama.

Do 5 to 8 cycles at a stretch.

Then lie down in Savasana. (Image 592)
Same effects as Ujjayi, Nadi Sodhana, and Surya Bhedana. Caution: Variation in rhythm (exhalation longer than inhalation) makes this difficult; only for advanced pupils. Hazardous for BP/heart/nervous disorders.
","These stages are similar to IVb, except that the inhalations are interrupted by pauses.",,,Stage VIIIb
P_I,Pratiloma Pranayama,Pratiloma Prāṇāyāma,,-,,,,385,"215 / Pratiloma Pranayama
Technique
Sit in any comfortable position like Padmasana (Image 104), Siddhasana (Image 84) or Virasana (Image 89).

Keep the back erect and rigid. Lower the head to the trunk. Rest the chin in the notch between the collar-bones just above the breast-bone. This is the Jalandhara Bandha.

Stretch the left arm. Rest the back of the left wrist on the left knee. Perform the Jnana Mudra with the left hand (see 203, 3).

Bend the right arm at the elbow, and the index and middle fingers towards the palm, keeping them passive. Bring the ring and little fingers towards the thumb. (Image 598)

Place the right thumb on the right side of the nose just below the nasal bone and the ring and little fingers on the left side of the nose just below the nasal bone, just above the curve of the fatty tissue of the nostrils.

Press the ring and little fingers to block the left side of the nose completely.

With the right thumb, press the right side of the fatty tissue so as to make the outer edge of the nostril parallel to the lower edge of the cartilage of the septum.

The right thumb is bent at the top joint and the tip of the thumb is placed at a right angle to the septum. (Image 599)

Now inhale slowly and deeply, controlling the aperture of the right nostril with the tip of the thumb nearer the nail. Fill the lungs to the brim (puraka).

Then block the right nostril so that both the nostrils are now blocked.

Hold the breath for about 5 to 10 seconds (antara kumbhaka) and stay in Mula Bandha (see p. 366).

Lower the right hand. Release the Mula Bandha grip. Exhale slowly and deeply as in Ujjayi (203) until the lungs are completely empty.

Again raise the right hand to the nose. Inhale through the partially opened left nostril slowly and deeply, keeping the right nostril completely closed.

Fill the lungs to the brim.

Hold the breath with the Mula Bandha grip from 5 to 10 seconds. The retention of breath (antara kumbhaka) after inhalation from either nostril should be of equal duration.

Lower the right hand, release the Mula Bandha, exhale slowly and deeply, completely expelling all air from the lungs as in Ujjayi.

This completes one cycle of Pratiloma Pranayama.

Do 5 to 8 cycles at a stretch.

Then lie down in Savasana. (Image 592)
Same effects as Ujjayi, Nadi Sodhana, and Surya Bhedana. Caution: Difficult due to rhythm variation (inhalation longer than exhalation); only for advanced pupils. Hazardous for BP/heart/nervous disorders.
","1. Sit in any asana, following the techniques given in Paras 1 to 7 of Ujjayi, Stage V. 2. Exhale. 3. Bring the right hand to the nostrils as explained in Paras 12 to 22 of Chapter 22 on digital pranayama. 4. Control both nostrils with the tips of the thumb and fingers, making the nasal passages as narrow as possible and parallel to the septum. 5. Keep an even pressure on both sides of the nostrils to make the two passages even in width. Do not disturb the septum. 6. Inhale slowly, carefully, and deeply, without using any force. 7. Feel the air as it enters the nasal passages. 8. Keep the fingers firm and sensitive, adjusting their tips evenly on both sides of the nostrils to observe, guide, and equalize the volume and the smooth inflow of air. 9. When the lungs are completely full, hold the breath for a second or two, then lower the right hand and rest it on the right knee. 10. Exhale with open nostrils slowly, steadily, and smoothly until the lungs feel completely empty. 11. This completes one cycle. Repeat the cycle for ten to fifteen minutes or for as long as you feel no strain. 12. After completing the last cycle, inhale with open nostrils, then lie in Savasana.","If any strain is felt, stop practice for the day.",,Stage Ia
P_II,Pratiloma Pranayama,Pratiloma Prāṇāyāma,,-,,,,385,"215 / Pratiloma Pranayama
Technique
Sit in any comfortable position like Padmasana (Image 104), Siddhasana (Image 84) or Virasana (Image 89).

Keep the back erect and rigid. Lower the head to the trunk. Rest the chin in the notch between the collar-bones just above the breast-bone. This is the Jalandhara Bandha.

Stretch the left arm. Rest the back of the left wrist on the left knee. Perform the Jnana Mudra with the left hand (see 203, 3).

Bend the right arm at the elbow, and the index and middle fingers towards the palm, keeping them passive. Bring the ring and little fingers towards the thumb. (Image 598)

Place the right thumb on the right side of the nose just below the nasal bone and the ring and little fingers on the left side of the nose just below the nasal bone, just above the curve of the fatty tissue of the nostrils.

Press the ring and little fingers to block the left side of the nose completely.

With the right thumb, press the right side of the fatty tissue so as to make the outer edge of the nostril parallel to the lower edge of the cartilage of the septum.

The right thumb is bent at the top joint and the tip of the thumb is placed at a right angle to the septum. (Image 599)

Now inhale slowly and deeply, controlling the aperture of the right nostril with the tip of the thumb nearer the nail. Fill the lungs to the brim (puraka).

Then block the right nostril so that both the nostrils are now blocked.

Hold the breath for about 5 to 10 seconds (antara kumbhaka) and stay in Mula Bandha (see p. 366).

Lower the right hand. Release the Mula Bandha grip. Exhale slowly and deeply as in Ujjayi (203) until the lungs are completely empty.

Again raise the right hand to the nose. Inhale through the partially opened left nostril slowly and deeply, keeping the right nostril completely closed.

Fill the lungs to the brim.

Hold the breath with the Mula Bandha grip from 5 to 10 seconds. The retention of breath (antara kumbhaka) after inhalation from either nostril should be of equal duration.

Lower the right hand, release the Mula Bandha, exhale slowly and deeply, completely expelling all air from the lungs as in Ujjayi.

This completes one cycle of Pratiloma Pranayama.

Do 5 to 8 cycles at a stretch.

Then lie down in Savasana. (Image 592)
Same effects as Ujjayi, Nadi Sodhana, and Surya Bhedana. Caution: Difficult due to rhythm variation (inhalation longer than exhalation); only for advanced pupils. Hazardous for BP/heart/nervous disorders.
","1. Sit in any asana, following the techniques given in Paras 1 to 7 of Ujjayi, Stage V. 2. Exhale. 3. Bring the right hand to the nostrils as explained in Paras 12 to 22 of Chapter 22 on digital pranayama. 4. Block the left nostril completely with the tips of the ring and little fingers, without altering the position of the septum. 5. Control the right nostril with the tip of the thumb and make the passage as narrow as possible. 6. Keep the inner wall of the right passage parallel to the septum. 7. Inhale slowly, deeply, and as delicately as possible through the partially open but controlled right nostril until the lungs are completely full. 8. Hold the breath for a second or two. 9. Lower the hand and rest it on the knee. 10. Exhale slowly, softly, steadily, and delicately with open nostrils until the lungs feel empty. 11. Again raise the hand to the nose and inhale through the left nostril, following the techniques given in Paras 1 to 6 above, but block the right nostril and breathe through the left. 12. Lower the hand and rest it on the knee. 13. Exhale as in Para. 7. 14. This completes one cycle. Repeat them for ten to fifteen minutes. 15. After completing the last cycle, inhale through open nostrils then lie in Savasana.","If any strain is felt, stop practice for the day.",,Stage Ib
P_III,Pratiloma Pranayama,Pratiloma Prāṇāyāma,,-,,,,385,"215 / Pratiloma Pranayama
Technique
Sit in any comfortable position like Padmasana (Image 104), Siddhasana (Image 84) or Virasana (Image 89).

Keep the back erect and rigid. Lower the head to the trunk. Rest the chin in the notch between the collar-bones just above the breast-bone. This is the Jalandhara Bandha.

Stretch the left arm. Rest the back of the left wrist on the left knee. Perform the Jnana Mudra with the left hand (see 203, 3).

Bend the right arm at the elbow, and the index and middle fingers towards the palm, keeping them passive. Bring the ring and little fingers towards the thumb. (Image 598)

Place the right thumb on the right side of the nose just below the nasal bone and the ring and little fingers on the left side of the nose just below the nasal bone, just above the curve of the fatty tissue of the nostrils.

Press the ring and little fingers to block the left side of the nose completely.

With the right thumb, press the right side of the fatty tissue so as to make the outer edge of the nostril parallel to the lower edge of the cartilage of the septum.

The right thumb is bent at the top joint and the tip of the thumb is placed at a right angle to the septum. (Image 599)

Now inhale slowly and deeply, controlling the aperture of the right nostril with the tip of the thumb nearer the nail. Fill the lungs to the brim (puraka).

Then block the right nostril so that both the nostrils are now blocked.

Hold the breath for about 5 to 10 seconds (antara kumbhaka) and stay in Mula Bandha (see p. 366).

Lower the right hand. Release the Mula Bandha grip. Exhale slowly and deeply as in Ujjayi (203) until the lungs are completely empty.

Again raise the right hand to the nose. Inhale through the partially opened left nostril slowly and deeply, keeping the right nostril completely closed.

Fill the lungs to the brim.

Hold the breath with the Mula Bandha grip from 5 to 10 seconds. The retention of breath (antara kumbhaka) after inhalation from either nostril should be of equal duration.

Lower the right hand, release the Mula Bandha, exhale slowly and deeply, completely expelling all air from the lungs as in Ujjayi.

This completes one cycle of Pratiloma Pranayama.

Do 5 to 8 cycles at a stretch.

Then lie down in Savasana. (Image 592)
Same effects as Ujjayi, Nadi Sodhana, and Surya Bhedana. Caution: Difficult due to rhythm variation (inhalation longer than exhalation); only for advanced pupils. Hazardous for BP/heart/nervous disorders.
","1. Sit in any asana, following the techniques of Paras 1 to 7 of Ujjayi, Stage V. 2. Exhale. 3. Bring the right hand to the nostrils and inhale, following the techniques given in Paras 3 to 5 of Stage Ia above. 4. When the lungs are completely full, block both nostrils with the centers of the tips of the thumb and fingers, not allowing any air to escape. 5. Hold the breath with mula bandha for fifteen to twenty seconds or for as long as you can. 6. Lower the right hand and rest it on the right knee. 7. Exhale with open nostrils softly, slowly, steadily, and smoothly until the lungs feel completely empty. 8. This completes one cycle. Repeat them for fifteen to twenty minutes for as long as you feel no strain. 9. After completing the last cycle, inhale through open nostrils then lie in Savasana.","If any strain is felt, stop practice for the day.",,Stage IIa
P_IV,Pratiloma Pranayama,Pratiloma Prāṇāyāma,,-,,,,385,"215 / Pratiloma Pranayama
Technique
Sit in any comfortable position like Padmasana (Image 104), Siddhasana (Image 84) or Virasana (Image 89).

Keep the back erect and rigid. Lower the head to the trunk. Rest the chin in the notch between the collar-bones just above the breast-bone. This is the Jalandhara Bandha.

Stretch the left arm. Rest the back of the left wrist on the left knee. Perform the Jnana Mudra with the left hand (see 203, 3).

Bend the right arm at the elbow, and the index and middle fingers towards the palm, keeping them passive. Bring the ring and little fingers towards the thumb. (Image 598)

Place the right thumb on the right side of the nose just below the nasal bone and the ring and little fingers on the left side of the nose just below the nasal bone, just above the curve of the fatty tissue of the nostrils.

Press the ring and little fingers to block the left side of the nose completely.

With the right thumb, press the right side of the fatty tissue so as to make the outer edge of the nostril parallel to the lower edge of the cartilage of the septum.

The right thumb is bent at the top joint and the tip of the thumb is placed at a right angle to the septum. (Image 599)

Now inhale slowly and deeply, controlling the aperture of the right nostril with the tip of the thumb nearer the nail. Fill the lungs to the brim (puraka).

Then block the right nostril so that both the nostrils are now blocked.

Hold the breath for about 5 to 10 seconds (antara kumbhaka) and stay in Mula Bandha (see p. 366).

Lower the right hand. Release the Mula Bandha grip. Exhale slowly and deeply as in Ujjayi (203) until the lungs are completely empty.

Again raise the right hand to the nose. Inhale through the partially opened left nostril slowly and deeply, keeping the right nostril completely closed.

Fill the lungs to the brim.

Hold the breath with the Mula Bandha grip from 5 to 10 seconds. The retention of breath (antara kumbhaka) after inhalation from either nostril should be of equal duration.

Lower the right hand, release the Mula Bandha, exhale slowly and deeply, completely expelling all air from the lungs as in Ujjayi.

This completes one cycle of Pratiloma Pranayama.

Do 5 to 8 cycles at a stretch.

Then lie down in Savasana. (Image 592)
Same effects as Ujjayi, Nadi Sodhana, and Surya Bhedana. Caution: Difficult due to rhythm variation (inhalation longer than exhalation); only for advanced pupils. Hazardous for BP/heart/nervous disorders.
","1. Sit in any asana, following the techniques given in Paras 1 to 7 of Ujjayi, Stage V. 2. Exhale. 3. Bring the right hand to the nostrils. 4. Now inhale, following the techniques given in Paras 3 to 6 of Stage Ib above. 5. After full inhalation, block both the nostrils and hold the breath with mula bandha for fifteen to twenty seconds or as long as you can. 6. Lower the right hand to the knee. 7. Exhale with open nostrils softly, slowly, steadily, and smoothly until the lungs feel completely empty. 8. Again raise the right hand to the nose and block the right nostril completely, but control the left one and open it partially. 9. Inhale through the left nostril, following the techniques in Paras 1 to 6 of Stage Ib, reading left for right and vice versa. 10. At the end of inhalation, hold the breath as in Para. 3 above. 11. Then lower the right hand and exhale slowly as in Para. 7 above. 12. Two inhalations done through alternate nostrils, two internal retentions with blocked nostrils and with mula bandha, and two exhalations with open nostrils complete one cycle. 13. Repeat them for fifteen to twenty minutes for as long as you feel no strain. 14. After completing the last cycle, inhale through open nostrils then lie in Savasana.","If any strain is felt, stop practice for the day.",,Stage IIb
P_V,Pratiloma Pranayama,Pratiloma Prāṇāyāma,,-,,,,385,"215 / Pratiloma Pranayama
Technique
Sit in any comfortable position like Padmasana (Image 104), Siddhasana (Image 84) or Virasana (Image 89).

Keep the back erect and rigid. Lower the head to the trunk. Rest the chin in the notch between the collar-bones just above the breast-bone. This is the Jalandhara Bandha.

Stretch the left arm. Rest the back of the left wrist on the left knee. Perform the Jnana Mudra with the left hand (see 203, 3).

Bend the right arm at the elbow, and the index and middle fingers towards the palm, keeping them passive. Bring the ring and little fingers towards the thumb. (Image 598)

Place the right thumb on the right side of the nose just below the nasal bone and the ring and little fingers on the left side of the nose just below the nasal bone, just above the curve of the fatty tissue of the nostrils.

Press the ring and little fingers to block the left side of the nose completely.

With the right thumb, press the right side of the fatty tissue so as to make the outer edge of the nostril parallel to the lower edge of the cartilage of the septum.

The right thumb is bent at the top joint and the tip of the thumb is placed at a right angle to the septum. (Image 599)

Now inhale slowly and deeply, controlling the aperture of the right nostril with the tip of the thumb nearer the nail. Fill the lungs to the brim (puraka).

Then block the right nostril so that both the nostrils are now blocked.

Hold the breath for about 5 to 10 seconds (antara kumbhaka) and stay in Mula Bandha (see p. 366).

Lower the right hand. Release the Mula Bandha grip. Exhale slowly and deeply as in Ujjayi (203) until the lungs are completely empty.

Again raise the right hand to the nose. Inhale through the partially opened left nostril slowly and deeply, keeping the right nostril completely closed.

Fill the lungs to the brim.

Hold the breath with the Mula Bandha grip from 5 to 10 seconds. The retention of breath (antara kumbhaka) after inhalation from either nostril should be of equal duration.

Lower the right hand, release the Mula Bandha, exhale slowly and deeply, completely expelling all air from the lungs as in Ujjayi.

This completes one cycle of Pratiloma Pranayama.

Do 5 to 8 cycles at a stretch.

Then lie down in Savasana. (Image 592)
Same effects as Ujjayi, Nadi Sodhana, and Surya Bhedana. Caution: Difficult due to rhythm variation (inhalation longer than exhalation); only for advanced pupils. Hazardous for BP/heart/nervous disorders.
","1. Sit in any asana following the techniques given in Paras 1 to 7 of Ujjayi, Stage V. 2. Exhale. 3. Bring the hands to the nostrils as explained in Paras 12 to 22 of Chapter 22 on digital pranayama. 4. Inhale, following the techniques given in Paras 3 to 5 of Stage Ia above. 5. Exhale with open nostrils slowly, steadily, and smoothly until the lungs feel completely empty. 6. Then do external retention with uddiyana for ten to fifteen seconds, or for as long as you can. 7. Finally, release the uddiyana grip. 8. One inhalation, one exhalation, and one external retention with uddiyana bandha completes one cycle. 9. Repeat them for ten to fifteen minutes, or for as long as you feel no strain. 10. After the last cycle, inhale through open nostrils, then lie in Savasana.","If any strain is felt, stop practice for the day.",,Stage IIIa
P_VI,Pratiloma Pranayama,Pratiloma Prāṇāyāma,,-,,,,385,"215 / Pratiloma Pranayama
Technique
Sit in any comfortable position like Padmasana (Image 104), Siddhasana (Image 84) or Virasana (Image 89).

Keep the back erect and rigid. Lower the head to the trunk. Rest the chin in the notch between the collar-bones just above the breast-bone. This is the Jalandhara Bandha.

Stretch the left arm. Rest the back of the left wrist on the left knee. Perform the Jnana Mudra with the left hand (see 203, 3).

Bend the right arm at the elbow, and the index and middle fingers towards the palm, keeping them passive. Bring the ring and little fingers towards the thumb. (Image 598)

Place the right thumb on the right side of the nose just below the nasal bone and the ring and little fingers on the left side of the nose just below the nasal bone, just above the curve of the fatty tissue of the nostrils.

Press the ring and little fingers to block the left side of the nose completely.

With the right thumb, press the right side of the fatty tissue so as to make the outer edge of the nostril parallel to the lower edge of the cartilage of the septum.

The right thumb is bent at the top joint and the tip of the thumb is placed at a right angle to the septum. (Image 599)

Now inhale slowly and deeply, controlling the aperture of the right nostril with the tip of the thumb nearer the nail. Fill the lungs to the brim (puraka).

Then block the right nostril so that both the nostrils are now blocked.

Hold the breath for about 5 to 10 seconds (antara kumbhaka) and stay in Mula Bandha (see p. 366).

Lower the right hand. Release the Mula Bandha grip. Exhale slowly and deeply as in Ujjayi (203) until the lungs are completely empty.

Again raise the right hand to the nose. Inhale through the partially opened left nostril slowly and deeply, keeping the right nostril completely closed.

Fill the lungs to the brim.

Hold the breath with the Mula Bandha grip from 5 to 10 seconds. The retention of breath (antara kumbhaka) after inhalation from either nostril should be of equal duration.

Lower the right hand, release the Mula Bandha, exhale slowly and deeply, completely expelling all air from the lungs as in Ujjayi.

This completes one cycle of Pratiloma Pranayama.

Do 5 to 8 cycles at a stretch.

Then lie down in Savasana. (Image 592)
Same effects as Ujjayi, Nadi Sodhana, and Surya Bhedana. Caution: Difficult due to rhythm variation (inhalation longer than exhalation); only for advanced pupils. Hazardous for BP/heart/nervous disorders.
","1. Sit in any asana, following the techniques given in Paras 1 to 7 of Ujjayi, Stage V. 2. Exhale whatever breath is in the lungs. 3. Bring the right hand to the nostrils as explained in Paras 12 to 22 of Chapter 22 on digital pranayama. 4. Block the left nostril completely and inhale through the controlled and partially open right nostril, following the techniques given in Paras 1 to 6 of Stage Ib above. 5. Lower the hand, rest it on the knee and exhale with open nostrils, slowly, steadily, and smoothly, until the lungs feel completely empty. 6. Now do external retention with uddiyana for ten to fifteen seconds for as long as you can, then release the grip. 7. Raise the right hand to the nostrils, blocking the right completely and the left partially. 8. Inhale slowly, delicately, and deeply through the left nostril, following the techniques given in Paras 1 to 6 of Stage Ib but reading right for left and vice versa. 9. Lower the hand, rest it on the knee and exhale as in Para. 7 above. 10. When the lungs feel completely empty, do external retention with uddiyana bandha for ten to fifteen seconds or for the same length of time as before. 11. Then release the grip. 12. Two inhalations (once through each nostril), two exhalations with open nostrils, and two external retentions with uddiyana bandha complete one cycle of this Stage. 13. Repeat them for ten to fifteen minutes according to your capacity. 14. At the end of the last cycle inhale with open nostrils, then lie in Savasana.","If any strain is felt, stop practice for the day.",,Stage IIIb
P_VII,Pratiloma Pranayama,Pratiloma Prāṇāyāma,,-,,,,385,"215 / Pratiloma Pranayama
Technique
Sit in any comfortable position like Padmasana (Image 104), Siddhasana (Image 84) or Virasana (Image 89).

Keep the back erect and rigid. Lower the head to the trunk. Rest the chin in the notch between the collar-bones just above the breast-bone. This is the Jalandhara Bandha.

Stretch the left arm. Rest the back of the left wrist on the left knee. Perform the Jnana Mudra with the left hand (see 203, 3).

Bend the right arm at the elbow, and the index and middle fingers towards the palm, keeping them passive. Bring the ring and little fingers towards the thumb. (Image 598)

Place the right thumb on the right side of the nose just below the nasal bone and the ring and little fingers on the left side of the nose just below the nasal bone, just above the curve of the fatty tissue of the nostrils.

Press the ring and little fingers to block the left side of the nose completely.

With the right thumb, press the right side of the fatty tissue so as to make the outer edge of the nostril parallel to the lower edge of the cartilage of the septum.

The right thumb is bent at the top joint and the tip of the thumb is placed at a right angle to the septum. (Image 599)

Now inhale slowly and deeply, controlling the aperture of the right nostril with the tip of the thumb nearer the nail. Fill the lungs to the brim (puraka).

Then block the right nostril so that both the nostrils are now blocked.

Hold the breath for about 5 to 10 seconds (antara kumbhaka) and stay in Mula Bandha (see p. 366).

Lower the right hand. Release the Mula Bandha grip. Exhale slowly and deeply as in Ujjayi (203) until the lungs are completely empty.

Again raise the right hand to the nose. Inhale through the partially opened left nostril slowly and deeply, keeping the right nostril completely closed.

Fill the lungs to the brim.

Hold the breath with the Mula Bandha grip from 5 to 10 seconds. The retention of breath (antara kumbhaka) after inhalation from either nostril should be of equal duration.

Lower the right hand, release the Mula Bandha, exhale slowly and deeply, completely expelling all air from the lungs as in Ujjayi.

This completes one cycle of Pratiloma Pranayama.

Do 5 to 8 cycles at a stretch.

Then lie down in Savasana. (Image 592)
Same effects as Ujjayi, Nadi Sodhana, and Surya Bhedana. Caution: Difficult due to rhythm variation (inhalation longer than exhalation); only for advanced pupils. Hazardous for BP/heart/nervous disorders.
","1. Sit in any asana following the techniques given in Paras 1 to 7 of Ujjayi, Stage V. 2. Exhale. 3. Bring the right hand to the nostrils as described in Paras 12 to 22 of Chapter 22 on digital pranayama. 4. Inhale through partially open nostrils, as described in Paras 3 to 5 of Stage Ia above. 5. When the lungs are full, block the nostrils and do internal retention with mula bandha for fifteen to twenty seconds, or for as long as you can, as explained in Para. 3 of Stage Ia. 6. Lower the right hand and rest it on the knee. 7. Exhale with open nostrils softly, steadily, slowly, and smoothly until the lungs feel completely empty. 8. Then do external retention with uddiyana for ten to fifteen seconds, or for as long as you can. 9. Finally release the grip. 10. Again repeat the process of inhalation, internal retention with mula bandha, exhalation, and external retention with uddiyana bandha as stated above. 11. One inhalation, one internal retention with mula bandha, one exhalation, and one external retention with uddiyana bandha completes one cycle. 12. Repeat them according to your ability. 13. After completing the last cycle, inhale through open nostrils and lie in Savasana. If any strain is felt, stop practice for the day.","If any strain is felt, stop practice for the day.",,Stage IVa
P_VIII,Pratiloma Pranayama,Pratiloma Prāṇāyāma,,-,,,,385,"215 / Pratiloma Pranayama
Technique
Sit in any comfortable position like Padmasana (Image 104), Siddhasana (Image 84) or Virasana (Image 89).

Keep the back erect and rigid. Lower the head to the trunk. Rest the chin in the notch between the collar-bones just above the breast-bone. This is the Jalandhara Bandha.

Stretch the left arm. Rest the back of the left wrist on the left knee. Perform the Jnana Mudra with the left hand (see 203, 3).

Bend the right arm at the elbow, and the index and middle fingers towards the palm, keeping them passive. Bring the ring and little fingers towards the thumb. (Image 598)

Place the right thumb on the right side of the nose just below the nasal bone and the ring and little fingers on the left side of the nose just below the nasal bone, just above the curve of the fatty tissue of the nostrils.

Press the ring and little fingers to block the left side of the nose completely.

With the right thumb, press the right side of the fatty tissue so as to make the outer edge of the nostril parallel to the lower edge of the cartilage of the septum.

The right thumb is bent at the top joint and the tip of the thumb is placed at a right angle to the septum. (Image 599)

Now inhale slowly and deeply, controlling the aperture of the right nostril with the tip of the thumb nearer the nail. Fill the lungs to the brim (puraka).

Then block the right nostril so that both the nostrils are now blocked.

Hold the breath for about 5 to 10 seconds (antara kumbhaka) and stay in Mula Bandha (see p. 366).

Lower the right hand. Release the Mula Bandha grip. Exhale slowly and deeply as in Ujjayi (203) until the lungs are completely empty.

Again raise the right hand to the nose. Inhale through the partially opened left nostril slowly and deeply, keeping the right nostril completely closed.

Fill the lungs to the brim.

Hold the breath with the Mula Bandha grip from 5 to 10 seconds. The retention of breath (antara kumbhaka) after inhalation from either nostril should be of equal duration.

Lower the right hand, release the Mula Bandha, exhale slowly and deeply, completely expelling all air from the lungs as in Ujjayi.

This completes one cycle of Pratiloma Pranayama.

Do 5 to 8 cycles at a stretch.

Then lie down in Savasana. (Image 592)
Same effects as Ujjayi, Nadi Sodhana, and Surya Bhedana. Caution: Difficult due to rhythm variation (inhalation longer than exhalation); only for advanced pupils. Hazardous for BP/heart/nervous disorders.
","1. Sit in any asana, following the techniques given in Paras 1 to 7 of Ujjayi, Stage V. 2. Exhale. 3. Bring the right hand to the nostrils as explained in Paras 12 to 22 of Chapter 22 on digital pranayama. 4. Inhale, following the techniques given in Paras 1 to 6 of Stage Ib above. 5. After full inhalation, do internal retention with mula bandha as in Para Stage IIb. 6. Lower the right hand and exhale as in Para Stage IIb. 7. When the lungs feel completely empty, do external retention with uddiyana for ten to fifteen seconds, or for as long as you can. 8. Again bring the right hand to the nostrils and inhale through the left as in Para Stage IIIb. 9. When the lungs are full, hold the breath with mula bandha for the same length of time as in Para above. 10. Lower the hand and exhale as in Para above. 11. When the lungs feel completely empty, do external retention with uddiyana as in Para above. 12. Then release the grip and repeat. 13. Two inhalations (one through the right and another through the left nostril), two internal retentions with mula bandha; two exhalations with open nostrils, and external retentions with uddiyana bandha, complete one cycle. 14. Repeat them according to your capacity. 15. After completing the last cycle, inhale normally through open nostrils and lie down in Savasana. If any strain is felt, stop pranayama practice for the day.","If any strain is felt, stop practice for the day.",,Stage IVb
